Sr No.,Spectrum,ComponentName,C,O,Al,Si,P,S,Cr,Mn,Ni,Pb,Fe,Mo,Cu,Sn,Zn,Au,K,N,Ca,V,W,Cl
423,18,Armature Spring,0.0,1.06,0.12,1.69,0.01,0.01,0.84,0.51,0.0,0.0,95.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424,19,Armature Spring,0.0,0.86,0.08,1.94,0.01,0.01,0.63,0.48,0.0,0.0,95.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
425,20,Armature Spring,0.0,0.93,0.1,1.94,0.01,0.01,0.66,0.65,0.0,0.0,95.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426,21,Armature Spring,0.0,0.89,0.07,1.55,0.01,0.01,0.75,0.43,0.0,0.0,96.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427,22,Armature Spring,0.0,0.76,0.09,1.49,0.01,0.01,0.65,0.52,0.0,0.0,96.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
428,23,Armature Spring,0.0,0.86,0.09,1.86,0.01,0.01,0.75,0.61,0.0,0.0,95.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
429,24,Armature Spring,0.0,0.89,0.07,1.6,0.01,0.01,0.74,0.51,0.0,0.0,96.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430,25,Armature Spring,0.0,1.06,0.09,1.4,0.01,0.01,0.67,0.51,0.0,0.0,96.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
431,26,Armature Spring,0.0,0.95,0.08,1.81,0.01,0.01,0.71,0.55,0.0,0.0,95.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
432,27,Armature Spring,0.0,0.7,0.1,1.45,0.01,0.01,0.86,0.56,0.0,0.0,96.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
433,28,Armature Spring,0.0,0.81,0.1,2.01,0.01,0.01,0.74,0.53,0.0,0.0,95.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
434,29,Armature Spring,0.0,0.98,0.09,1.56,0.01,0.01,0.74,0.64,0.0,0.0,95.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
435,30,Armature Spring,0.0,0.84,0.09,1.33,0.01,0.01,0.74,0.51,0.0,0.0,96.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
436,31,Armature Spring,0.0,0.81,0.1,1.66,0.01,0.01,0.76,0.56,0.0,0.0,96.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
437,32,Armature Spring,0.0,0.85,0.09,1.84,0.01,0.01,0.65,0.48,0.0,0.0,96.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
438,33,Armature Spring,0.0,0.9,0.09,1.71,0.01,0.01,0.85,0.75,0.0,0.0,95.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
439,34,Armature Spring,0.0,0.81,0.1,1.34,0.01,0.01,0.87,0.67,0.0,0.0,96.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440,35,Armature Spring,0.0,0.87,0.11,1.95,0.01,0.01,0.67,0.79,0.0,0.0,95.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441,36,Armature Spring,0.0,0.9,0.08,1.52,0.01,0.01,0.75,0.58,0.0,0.0,96.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442,37,Armature Spring,0.0,0.84,0.09,1.81,0.01,0.01,0.69,0.62,0.0,0.0,95.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,38,Armature Spring,0.0,0.78,0.1,1.65,0.02,0.01,0.77,0.59,0.0,0.0,96.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
444,39,Armature Spring,0.0,0.83,0.08,1.69,0.01,0.01,0.78,0.54,0.0,0.0,96.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
445,40,Armature Spring,0.0,0.83,0.1,1.66,0.01,0.01,0.88,0.61,0.0,0.0,95.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
446,41,Armature Spring,0.0,0.64,0.07,1.82,0.01,0.01,0.49,0.5,0.0,0.0,96.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
447,42,Armature Spring,0.0,0.84,0.1,1.76,0.01,0.01,0.72,0.55,0.0,0.0,96.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
448,43,Armature Spring,0.0,0.84,0.07,1.5,0.01,0.01,0.73,0.42,0.0,0.0,96.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
449,44,Armature Spring,0.0,0.94,0.1,1.59,0.01,0.01,0.67,0.5,0.0,0.0,96.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,45,Armature Spring,0.0,0.72,0.09,1.48,0.01,0.01,0.7,0.55,0.0,0.0,96.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
451,46,Armature Spring,0.0,0.79,0.09,1.54,0.01,0.01,0.68,0.55,0.0,0.0,96.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
452,47,Armature Spring,0.0,0.88,0.08,1.68,0.02,0.01,0.75,0.54,0.0,0.0,96.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
453,48,Armature Spring,0.0,0.84,0.1,1.33,0.01,0.01,0.73,0.45,0.0,0.0,96.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
454,49,Armature Spring,0.0,0.81,0.09,1.68,0.01,0.01,0.64,0.49,0.0,0.0,96.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
455,50,Armature Spring,0.0,0.62,0.08,1.79,0.01,0.01,0.71,0.52,0.0,0.0,96.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
456,51,Armature Spring,0.0,0.72,0.08,2.0,0.01,0.01,0.77,0.62,0.0,0.0,95.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
457,52,Armature Spring,0.0,0.9,0.09,2.14,0.01,0.01,0.76,0.53,0.0,0.0,95.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
458,53,Armature Spring,0.0,0.82,0.08,2.03,0.01,0.01,0.7,0.48,0.0,0.0,95.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
459,54,Armature Spring,0.0,0.91,0.1,1.72,0.01,0.01,0.66,0.55,0.0,0.0,96.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
460,55,Armature Spring,0.0,0.77,0.12,1.68,0.01,0.01,0.78,0.53,0.0,0.0,96.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
461,56,Armature Spring,0.0,0.87,0.09,1.61,0.01,0.01,0.69,0.64,0.0,0.0,96.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
462,57,Armature Spring,0.0,0.91,0.09,1.7,0.01,0.01,0.66,0.51,0.0,0.0,96.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
463,58,Armature Spring,0.0,0.86,0.09,1.58,0.02,0.01,0.81,0.62,0.0,0.0,96.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
464,59,Armature Spring,0.0,1.03,0.08,1.54,0.01,0.01,0.69,0.55,0.0,0.0,96.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
465,60,Armature Spring,0.0,0.99,0.09,1.6,0.01,0.01,0.74,0.47,0.0,0.0,96.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
466,61,Armature Spring,0.0,1.04,0.09,1.83,0.01,0.01,0.87,0.51,0.0,0.0,95.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
467,62,Armature Spring,0.0,0.82,0.09,1.69,0.02,0.01,0.83,0.73,0.0,0.0,95.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
468,63,Armature Spring,0.0,0.9,0.09,1.5,0.01,0.01,0.73,0.54,0.0,0.0,96.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
469,64,Armature Spring,0.0,0.81,0.09,1.41,0.01,0.01,0.87,0.59,0.0,0.0,96.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
470,65,Armature Spring,0.0,0.66,0.09,1.74,0.01,0.01,0.73,0.58,0.0,0.0,96.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
471,66,Armature Spring,0.0,0.85,0.09,1.9,0.01,0.01,0.83,0.64,0.0,0.0,95.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
472,67,Armature Spring,0.0,0.96,0.11,1.95,0.01,0.01,0.88,0.63,0.0,0.0,95.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
473,68,Armature Spring,0.0,0.69,0.09,1.86,0.01,0.01,0.75,0.58,0.0,0.0,96.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
474,69,Armature Spring,0.0,0.81,0.08,1.65,0.01,0.01,0.76,0.66,0.0,0.0,96.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
475,70,Armature Spring,0.0,0.68,0.08,1.64,0.01,0.01,0.56,0.5,0.0,0.0,96.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
476,71,Armature Spring,0.0,0.63,0.07,1.57,0.02,0.01,0.77,0.65,0.0,0.0,96.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
477,72,Armature Spring,0.0,0.88,0.08,1.7,0.01,0.01,0.73,0.61,0.0,0.0,95.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478,73,Armature Spring,0.0,0.57,0.1,1.91,0.01,0.01,0.74,0.56,0.0,0.0,96.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
479,74,Armature Spring,0.0,0.83,0.12,1.27,0.01,0.01,0.72,0.57,0.0,0.0,96.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480,75,Armature Spring,0.0,0.8,0.08,1.39,0.01,0.01,0.58,0.47,0.0,0.0,96.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
481,76,Armature Spring,0.0,0.92,0.08,1.66,0.01,0.01,0.7,0.47,0.0,0.0,96.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
482,77,Armature Spring,0.0,0.73,0.08,1.72,0.01,0.01,0.67,0.45,0.0,0.0,96.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
483,78,Armature Spring,0.0,0.74,0.08,1.61,0.01,0.01,0.49,0.57,0.0,0.0,96.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484,79,Armature Spring,0.0,0.91,0.11,1.86,0.01,0.01,0.76,0.52,0.0,0.0,95.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
485,80,Armature Spring,0.0,0.61,0.08,1.57,0.02,0.01,0.69,0.53,0.0,0.0,96.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
486,81,Armature Spring,0.0,0.82,0.11,1.64,0.01,0.01,0.53,0.58,0.0,0.0,96.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487,82,Armature Spring,0.0,0.88,0.08,1.44,0.01,0.01,0.65,0.53,0.0,0.0,96.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
488,83,Armature Spring,0.0,0.81,0.09,1.81,0.01,0.01,0.71,0.48,0.0,0.0,96.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
489,84,Armature Spring,0.0,1.0,0.1,1.64,0.01,0.01,0.8,0.57,0.0,0.0,95.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
490,85,Armature Spring,0.0,0.93,0.09,1.88,0.01,0.01,0.8,0.53,0.0,0.0,95.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
491,86,Armature Spring,0.0,0.86,0.09,1.48,0.01,0.01,0.69,0.74,0.0,0.0,96.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
492,87,Armature Spring,0.0,0.93,0.11,1.93,0.01,0.01,0.8,0.62,0.0,0.0,95.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
493,88,Armature Spring,0.0,0.81,0.08,1.67,0.01,0.01,0.58,0.53,0.0,0.0,96.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
494,89,Armature Spring,0.0,0.96,0.07,1.58,0.01,0.01,0.59,0.49,0.0,0.0,96.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
495,90,Armature Spring,0.0,1.03,0.1,1.82,0.01,0.01,0.72,0.51,0.0,0.0,95.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
496,91,Armature Spring,0.0,0.87,0.1,1.91,0.01,0.01,0.73,0.51,0.0,0.0,95.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
497,92,Armature Spring,0.0,0.85,0.09,1.24,0.01,0.01,0.59,0.57,0.0,0.0,96.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498,93,Armature Spring,0.0,0.93,0.1,1.45,0.01,0.01,0.72,0.55,0.0,0.0,96.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
499,94,Armature Spring,0.0,0.83,0.09,2.07,0.01,0.01,0.74,0.49,0.0,0.0,95.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,95,Armature Spring,0.0,1.1,0.11,1.61,0.02,0.01,0.85,0.58,0.0,0.0,95.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501,96,Armature Spring,0.0,0.76,0.1,1.52,0.01,0.01,0.84,0.63,0.0,0.0,96.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
502,97,Armature Spring,0.0,0.87,0.09,1.53,0.01,0.01,0.78,0.47,0.0,0.0,96.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
503,98,Armature Spring,0.0,0.84,0.08,1.47,0.01,0.01,0.66,0.51,0.0,0.0,96.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
504,99,Armature Spring,0.0,0.84,0.09,1.95,0.01,0.01,0.69,0.5,0.0,0.0,95.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
505,100,Armature Spring,0.0,0.85,0.09,1.54,0.01,0.01,0.62,0.56,0.0,0.0,96.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
506,101,Armature Spring,0.0,0.76,0.1,1.58,0.01,0.01,0.82,0.59,0.0,0.0,96.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507,102,Armature Spring,0.0,0.99,0.09,1.63,0.01,0.01,0.69,0.55,0.0,0.0,96.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
508,103,Armature Spring,0.0,0.91,0.09,1.36,0.01,0.01,0.62,0.41,0.0,0.0,96.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
509,104,Armature Spring,0.0,0.82,0.09,1.61,0.01,0.01,0.69,0.55,0.0,0.0,96.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
510,105,Armature Spring,0.0,0.93,0.07,1.96,0.01,0.01,0.71,0.57,0.0,0.0,95.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
511,106,Armature Spring,0.0,0.92,0.08,1.64,0.02,0.01,0.58,0.57,0.0,0.0,96.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
512,1,Back Flow Tube,0.67,0.87,0.0,0.45,0.0,0.31,18.11,1.31,8.02,0.0,70.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513,2,Back Flow Tube,0.87,0.93,0.0,0.42,0.0,0.34,18.08,1.57,8.14,0.0,69.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514,3,Back Flow Tube,0.71,0.99,0.0,0.37,0.0,0.4,17.86,1.52,7.94,0.0,70.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515,4,Back Flow Tube,0.91,1.03,0.0,0.44,0.0,0.34,19.83,1.67,7.93,0.0,67.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516,5,Back Flow Tube,0.81,1.01,0.0,0.4,0.0,0.36,18.64,1.47,8.23,0.0,69.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
517,6,Back Flow Tube,0.76,1.04,0.0,0.46,0.0,0.31,17.52,1.62,8.12,0.0,70.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
518,7,Back Flow Tube,0.85,1.05,0.0,0.4,0.0,0.36,18.9,1.32,8.39,0.0,68.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
519,8,Back Flow Tube,0.84,0.98,0.0,0.46,0.0,0.35,18.7,1.48,8.43,0.0,68.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520,9,Back Flow Tube,0.78,0.8,0.0,0.43,0.0,0.34,18.56,1.52,8.47,0.0,69.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
521,10,Back Flow Tube,0.74,0.8,0.0,0.44,0.0,0.32,18.17,1.46,8.26,0.0,69.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
522,11,Back Flow Tube,0.72,0.91,0.0,0.42,0.0,0.37,18.31,1.42,8.4,0.0,69.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523,12,Back Flow Tube,0.71,1.05,0.0,0.38,0.0,0.31,18.77,1.24,8.2,0.0,69.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524,13,Back Flow Tube,0.83,0.99,0.0,0.47,0.0,0.32,17.6,1.59,7.98,0.0,70.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525,14,Back Flow Tube,0.67,0.95,0.0,0.38,0.0,0.27,18.22,1.33,7.91,0.0,70.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526,15,Back Flow Tube,0.92,0.81,0.0,0.36,0.0,0.36,18.36,1.5,7.89,0.0,69.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527,16,Back Flow Tube,0.96,0.96,0.0,0.35,0.0,0.39,18.28,1.51,8.03,0.0,69.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
528,17,Back Flow Tube,0.71,1.06,0.0,0.44,0.0,0.33,17.94,1.31,8.06,0.0,70.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
529,18,Back Flow Tube,0.94,0.86,0.0,0.39,0.0,0.36,17.85,1.37,8.2,0.0,70.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
530,19,Back Flow Tube,0.81,1.15,0.0,0.44,0.0,0.31,18.45,1.31,8.02,0.0,69.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
531,20,Back Flow Tube,0.78,0.89,0.0,0.48,0.0,0.38,18.22,1.66,8.52,0.0,69.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
532,21,Back Flow Tube,1.12,1.04,0.0,0.38,0.0,0.4,18.99,1.47,8.75,0.0,67.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
533,22,Back Flow Tube,0.82,0.96,0.0,0.47,0.0,0.35,18.14,1.5,8.21,0.0,69.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
534,23,Back Flow Tube,1.05,1.13,0.0,0.32,0.0,0.37,17.18,1.51,8.0,0.0,70.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
535,24,Back Flow Tube,0.98,0.81,0.0,0.42,0.0,0.34,18.3,1.45,8.69,0.0,69.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
536,25,Back Flow Tube,0.84,0.74,0.0,0.39,0.0,0.33,17.69,1.26,8.15,0.0,70.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
537,26,Back Flow Tube,0.89,1.02,0.0,0.44,0.0,0.33,18.28,1.39,8.62,0.0,69.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
538,27,Back Flow Tube,0.86,0.88,0.0,0.4,0.0,0.35,17.05,1.26,8.35,0.0,70.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
539,28,Back Flow Tube,0.87,1.05,0.0,0.47,0.0,0.39,17.97,1.5,8.22,0.0,69.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540,29,Back Flow Tube,0.79,0.87,0.0,0.42,0.0,0.34,19.03,1.55,7.82,0.0,69.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
541,30,Back Flow Tube,0.98,1.15,0.0,0.44,0.0,0.35,18.4,1.46,8.12,0.0,69.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
542,31,Back Flow Tube,0.79,0.97,0.0,0.37,0.0,0.34,18.1,1.4,8.08,0.0,69.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
543,32,Back Flow Tube,0.83,1.04,0.0,0.37,0.0,0.34,18.25,1.33,8.36,0.0,69.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
544,33,Back Flow Tube,0.77,1.11,0.0,0.32,0.0,0.37,17.74,1.55,8.09,0.0,70.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
545,34,Back Flow Tube,0.89,0.82,0.0,0.35,0.0,0.32,18.14,1.36,8.56,0.0,69.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
546,35,Back Flow Tube,0.77,0.85,0.0,0.41,0.0,0.27,19.05,1.29,7.98,0.0,69.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
547,36,Back Flow Tube,0.86,0.9,0.0,0.38,0.0,0.31,18.04,1.76,9.0,0.0,68.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
548,37,Back Flow Tube,0.84,0.93,0.0,0.46,0.0,0.35,18.33,1.39,7.81,0.0,69.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
549,38,Back Flow Tube,0.85,0.9,0.0,0.45,0.0,0.38,17.83,1.45,8.46,0.0,69.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550,39,Back Flow Tube,0.85,0.99,0.0,0.4,0.0,0.34,19.06,1.43,8.2,0.0,68.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
551,40,Back Flow Tube,1.17,1.0,0.0,0.39,0.0,0.33,18.17,1.27,8.01,0.0,69.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552,41,Back Flow Tube,0.85,1.07,0.0,0.27,0.0,0.31,18.74,1.28,7.86,0.0,69.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
553,42,Back Flow Tube,0.96,0.83,0.0,0.37,0.0,0.32,18.49,1.35,7.6,0.0,70.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
554,43,Back Flow Tube,0.94,1.0,0.0,0.41,0.0,0.39,18.86,1.33,8.16,0.0,68.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
555,44,Back Flow Tube,0.9,1.0,0.0,0.48,0.0,0.33,16.77,1.14,7.83,0.0,71.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
556,45,Back Flow Tube,0.73,1.07,0.0,0.37,0.0,0.34,17.97,1.57,8.07,0.0,69.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
557,46,Back Flow Tube,0.78,0.76,0.0,0.43,0.0,0.31,17.8,1.61,8.48,0.0,69.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
558,47,Back Flow Tube,0.76,0.98,0.0,0.44,0.0,0.32,18.03,1.53,7.45,0.0,70.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
559,48,Back Flow Tube,0.77,0.89,0.0,0.38,0.0,0.38,17.39,1.28,8.04,0.0,70.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
560,49,Back Flow Tube,0.77,1.01,0.0,0.43,0.0,0.34,17.53,1.32,8.29,0.0,70.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
561,50,Back Flow Tube,0.9,0.84,0.0,0.37,0.0,0.3,16.88,1.4,8.46,0.0,70.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
